epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.8344,0.0197,3.8486,0.0000,8.771929824561403e-07
2,3.8432,0.0154,3.8210,0.0263,1.7543859649122805e-06
3,3.8436,0.0230,3.8014,0.0000,2.6315789473684207e-06
4,3.8307,0.0164,3.8061,0.0000,4.885993485342019e-07
5,3.8393,0.0208,3.7888,0.0044,9.771986970684038e-07
6,3.7958,0.0208,3.7775,0.0263,1.4657980456026055e-06
7,3.7543,0.0340,3.7435,0.0307,1.9543973941368076e-06
8,3.7180,0.0329,3.6513,0.0526,2.4429967426710097e-06
9,3.6495,0.0537,3.5897,0.0395,2.931596091205211e-06
10,3.5800,0.0537,3.4868,0.1140,3.420195439739413e-06
11,3.5357,0.0921,3.3986,0.1623,3.908794788273615e-06
12,3.4248,0.0965,3.2878,0.1667,4.397394136807817e-06
13,3.3434,0.1414,3.2045,0.2061,4.8859934853420195e-06
14,3.2521,0.1656,3.0781,0.2632,5.374592833876222e-06
15,3.1850,0.1919,2.9800,0.2982,5.863192182410422e-06
16,3.0741,0.2401,2.8546,0.3640,6.351791530944624e-06
17,2.9849,0.2719,2.7557,0.3465,6.840390879478826e-06
18,2.9189,0.3092,2.6542,0.4298,7.328990228013028e-06
19,2.8148,0.3542,2.5286,0.4605,7.81758957654723e-06
20,2.7305,0.3805,2.4180,0.5000,8.306188925081432e-06
21,2.6220,0.4276,2.2938,0.5877,8.794788273615635e-06
22,2.5502,0.4737,2.1676,0.6579,9.283387622149836e-06
23,2.4594,0.5143,2.1107,0.6184,9.771986970684039e-06
24,2.3770,0.5154,2.0297,0.7061,1.026058631921824e-05
25,2.2870,0.5768,1.9576,0.7982,1.0749185667752443e-05
26,2.2004,0.6075,1.7940,0.8333,1.1237785016286644e-05
27,2.1362,0.6261,1.7541,0.8289,1.1726384364820844e-05
28,2.0621,0.6404,1.7125,0.8158,1.2214983713355047e-05
29,2.0258,0.6491,1.5925,0.8728,1.2703583061889248e-05
30,1.9487,0.6787,1.5435,0.8640,1.3192182410423451e-05
